Timestamp,Elapsed_Sec,INA1_Voltage_V,INA1_Current_A,INA1_Power_W,Energy_Wh,Capacity_mAh,AC_Voltage_V,AC_Current_A,AC_Power_W,CPU_Temp_C,RPM
2026-08-23 16:39:57.286,3.2,12.480,0.200,2.840,0.0025,0.18,364.9,1.04,322.6,0.0,0
2026-08-23 16:39:58.345,4.3,12.480,0.200,2.470,0.0033,0.24,364.6,1.04,321.0,61.7,0
2026-08-23 16:39:59.370,5.3,12.480,0.290,3.260,0.0042,0.32,364.7,1.04,321.2,61.7,0
2026-08-23 16:40:00.486,6.4,12.480,0.210,2.630,0.0050,0.39,364.7,1.04,321.2,62.2,0
2026-08-23 16:40:01.588,7.5,12.480,0.190,2.380,0.0057,0.44,364.9,1.04,322.1,61.7,0
2026-08-23 16:40:02.662,8.6,12.480,0.310,4.560,0.0071,0.54,364.7,1.04,321.4,61.7,0
2026-08-23 16:40:03.733,9.7,12.480,0.190,2.850,0.0079,0.59,364.6,1.04,321.3,62.2,0
2026-08-23 16:40:04.758,10.7,12.480,0.330,3.440,0.0089,0.69,364.7,1.04,321.3,62.2,0
2026-08-23 16:40:05.784,11.7,12.470,0.120,2.050,0.0095,0.72,364.8,1.04,321.6,62.8,0
2026-08-23 16:40:06.873,12.8,12.470,0.130,1.650,0.0100,0.76,364.5,1.04,321.0,62.2,0
2026-08-23 16:40:07.930,13.9,12.480,0.210,1.860,0.0106,0.82,364.6,1.04,320.8,62.2,0
2026-08-23 16:40:08.954,14.9,12.480,0.210,2.180,0.0112,0.88,364.7,1.04,321.3,62.2,0
2026-08-23 16:40:09.984,15.9,12.480,0.270,3.350,0.0121,0.96,364.8,1.04,321.6,62.2,0
2026-08-23 16:40:11.009,16.9,12.480,0.280,3.190,0.0130,1.04,364.7,1.04,321.1,62.2,0
2026-08-23 16:40:12.065,18.0,12.480,0.230,2.120,0.0137,1.11,364.7,1.04,321.1,62.2,0
2026-08-23 16:40:13.187,19.1,12.480,0.180,2.280,0.0144,1.16,364.7,1.04,321.6,62.2,0
2026-08-23 16:40:14.261,20.2,12.480,0.120,1.450,0.0148,1.20,364.7,1.04,321.3,62.2,0
2026-08-23 16:40:15.364,21.3,12.480,0.180,2.230,0.0155,1.25,364.7,1.04,321.4,62.2,0
2026-08-23 16:40:16.395,22.3,12.480,0.170,2.780,0.0163,1.30,364.7,1.04,321.5,62.2,0
2026-08-23 16:40:17.420,23.4,12.480,0.310,3.900,0.0174,1.39,364.7,1.04,321.4,61.7,0
2026-08-23 16:40:18.476,24.4,12.480,0.170,2.850,0.0182,1.44,364.7,1.04,320.9,62.2,0
2026-08-23 16:40:19.571,25.5,12.480,0.280,3.660,0.0193,1.53,364.7,1.04,321.2,62.2,0
2026-08-23 16:40:20.627,26.6,12.470,0.160,2.290,0.0200,1.57,364.6,1.04,320.9,62.2,0
2026-08-23 16:40:21.652,27.6,12.480,0.280,3.500,0.0210,1.65,364.7,1.04,321.2,61.7,0
2026-08-23 16:40:22.712,28.6,12.480,0.220,2.350,0.0217,1.72,364.7,1.04,321.1,61.7,0
2026-08-23 16:40:23.766,29.7,12.480,0.260,2.830,0.0225,1.79,364.7,1.04,321.2,62.2,0
2026-08-23 16:40:24.881,30.8,12.480,0.350,4.380,0.0239,1.90,364.7,1.04,321.1,62.2,0
2026-08-23 16:40:25.984,31.9,12.470,0.260,3.200,0.0249,1.98,364.9,1.04,321.9,62.2,0
2026-08-23 16:40:27.058,33.0,12.470,-0.000,0.000,0.0249,1.98,364.7,1.04,321.3,62.2,0
2026-08-23 16:40:28.129,34.1,12.470,-0.000,0.000,0.0249,1.98,364.4,1.04,321.1,62.2,0
2026-08-23 16:40:29.155,35.1,12.470,-0.000,0.000,0.0249,1.98,364.3,1.04,320.8,62.2,0
2026-08-23 16:40:30.210,36.1,12.460,-0.000,0.000,0.0249,1.98,364.4,1.04,320.9,62.2,0
2026-08-23 16:40:31.268,37.2,12.470,-0.000,0.000,0.0249,1.98,364.6,1.04,321.3,62.2,0
2026-08-23 16:40:32.324,38.3,12.460,-0.000,0.000,0.0249,1.98,364.5,1.04,320.8,62.2,0
2026-08-23 16:40:33.380,39.3,12.460,-0.000,0.000,0.0249,1.98,364.5,1.04,320.7,62.2,0
2026-08-23 16:40:34.439,40.4,12.460,-0.000,0.000,0.0249,1.98,364.5,1.04,321.0,62.2,0
2026-08-23 16:40:35.495,41.4,12.460,-0.000,0.000,0.0249,1.98,364.6,1.04,321.0,62.2,0
2026-08-23 16:40:36.520,42.5,12.460,-0.000,0.000,0.0249,1.98,364.4,1.04,320.7,62.2,0
2026-08-23 16:40:37.658,43.6,12.460,-0.000,0.000,0.0249,1.98,364.3,1.04,321.0,62.2,0
2026-08-23 16:40:38.732,44.7,12.460,-0.000,0.000,0.0249,1.98,364.3,1.04,320.9,62.2,0
2026-08-23 16:40:39.835,45.8,12.460,0.010,0.260,0.0250,1.98,364.6,1.04,321.6,62.2,0
2026-08-23 16:40:40.896,46.8,12.460,-0.000,0.120,0.0250,1.98,364.9,1.04,321.5,62.2,0
2026-08-23 16:40:41.922,47.9,12.470,0.180,1.640,0.0255,2.03,364.8,1.04,321.4,62.2,0
2026-08-23 16:40:42.946,48.9,12.480,0.350,4.310,0.0267,2.13,364.7,1.04,321.4,62.2,0
2026-08-23 16:40:43.976,49.9,12.470,0.240,2.930,0.0275,2.20,364.6,1.04,321.1,62.2,0
2026-08-23 16:40:45.032,51.0,12.480,0.250,3.130,0.0284,2.28,364.5,1.04,320.8,62.2,0
2026-08-23 16:40:46.057,52.0,12.480,0.220,2.720,0.0292,2.34,364.6,1.04,321.4,62.2,0
2026-08-23 16:40:47.146,53.1,12.480,0.280,3.930,0.0304,2.42,364.6,1.04,321.0,62.2,0
2026-08-23 16:40:48.171,54.1,12.470,0.240,2.830,0.0312,2.49,364.6,1.04,321.0,62.2,0
2026-08-23 16:40:49.286,55.2,12.480,0.320,4.020,0.0325,2.59,364.6,1.04,321.1,62.2,0
2026-08-23 16:40:50.360,56.3,12.480,0.260,3.840,0.0336,2.67,364.9,1.04,322.1,62.2,0
2026-08-23 16:40:51.462,57.4,12.480,0.260,3.240,0.0346,2.75,364.6,1.04,321.1,62.2,0
2026-08-23 16:40:52.533,58.5,12.480,0.320,3.990,0.0358,2.84,364.8,1.04,321.9,62.2,0
2026-08-23 16:40:53.558,59.5,12.480,0.190,2.640,0.0365,2.90,364.8,1.04,321.7,62.2,0
2026-08-23 16:40:54.613,60.6,12.480,0.310,3.830,0.0377,2.99,364.7,1.04,321.1,62.2,0
2026-08-23 16:40:55.672,61.6,12.480,0.230,2.810,0.0385,3.06,364.9,1.04,321.7,62.2,0
2026-08-23 16:40:56.763,62.7,12.480,0.290,3.560,0.0396,3.14,364.7,1.04,321.2,62.2,0
2026-08-23 16:40:57.789,63.7,12.480,0.310,3.920,0.0407,3.23,364.7,1.04,321.1,62.2,0
2026-08-23 16:40:58.900,64.8,12.480,0.240,3.040,0.0416,3.31,364.6,1.04,321.1,61.7,0
2026-08-23 16:40:59.960,65.9,12.480,0.260,3.170,0.0425,3.38,364.6,1.04,321.2,62.2,0
2026-08-23 16:41:00.999,66.9,12.480,0.230,2.240,0.0432,3.45,364.7,1.04,321.0,62.8,0
2026-08-23 16:41:02.073,68.0,12.480,0.330,4.070,0.0444,3.55,364.6,1.04,321.3,62.8,0
2026-08-23 16:41:03.080,69.0,12.480,0.290,3.620,0.0454,3.63,364.9,1.04,321.9,62.2,0
2026-08-23 16:41:04.154,70.1,12.480,0.360,3.890,0.0466,3.74,364.8,1.04,321.5,62.2,0
2026-08-23 16:41:05.185,71.1,12.480,0.260,3.210,0.0475,3.81,364.7,1.04,321.5,62.2,0
