Time_s,Gen_AC_V,Inv_AC_V,Inv_AC_A,Inv_AC_W,Bat_DC_V,MPPT_DC_A,MPPT_DC_W,Bat_SoC_Pct,Bat_Energy_Wh,Inv_DC_A,Inv_DC_W,Inv_Efficiency_Pct,Rotor_RPM,Temp_Gen_C,Temp_Box_C,Temp_ESP_C
0.0,34.4,46.5,0.09,3.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.3,53.3
1.0,63.6,77.7,0.09,5.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.3,53.3
2.0,51.1,64.6,0.08,4.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
3.0,152.2,200.9,0.13,22.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
4.0,34.6,46.5,0.07,2.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.3,53.3
5.0,81.8,106.5,0.10,8.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.3,53.3
6.0,147.6,193.4,0.13,20.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.3,53.3
7.0,34.4,46.5,0.07,2.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
8.0,145.2,192.7,0.13,21.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
9.0,80.8,101.3,0.09,7.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.3,53.3
10.0,39.0,46.5,0.07,2.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
11.0,157.5,208.2,0.13,23.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
12.0,62.7,76.4,0.08,5.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.3,53.3
13.0,66.8,84.9,0.09,6.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.3,53.3
14.0,158.0,209.5,0.13,23.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
15.0,69.2,87.9,0.09,6.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
16.0,77.9,102.3,0.09,8.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
17.0,93.9,120.0,0.10,10.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.3,53.3
18.0,71.6,90.5,0.09,6.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
19.0,93.9,122.3,0.10,10.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
20.0,88.6,113.4,0.10,9.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
21.0,85.9,109.5,0.09,8.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
22.0,112.0,144.9,0.11,13.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
23.0,87.4,112.1,0.09,8.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
